antecedent,consequent,support,confidence,lift
{margarine}, {dessert}, 0.012, 0.101, 1.167
{dessert}, {margarine}, 0.012, 0.136, 1.167
{margarine}, {chocolate}, 0.012, 0.103, 1.192
{chocolate}, {margarine}, 0.012, 0.139, 1.192
{margarine}, {white bread}, 0.012, 0.105, 1.186
{white bread}, {margarine}, 0.012, 0.139, 1.186
{coffee}, {margarine}, 0.014, 0.118, 1.011
{margarine}, {coffee}, 0.014, 0.116, 1.011
{margarine}, {frozen vegetables}, 0.014, 0.121, 1.175
{frozen vegetables}, {margarine}, 0.014, 0.137, 1.175
{margarine}, {chicken}, 0.016, 0.134, 1.33
{chicken}, {margarine}, 0.016, 0.156, 1.33
{beef}, {napkins}, 0.01, 0.084, 1.029
{napkins}, {beef}, 0.01, 0.123, 1.029
{beef}, {UHT-milk}, 0.011, 0.088, 1.121
{UHT-milk}, {beef}, 0.011, 0.134, 1.121
{beef}, {butter milk}, 0.011, 0.09, 1.389
{butter milk}, {beef}, 0.011, 0.166, 1.389
{beef}, {waffles}, 0.011, 0.09, 1.306
{waffles}, {beef}, 0.011, 0.156, 1.306
{hamburger meat}, {beef}, 0.011, 0.137, 1.149
{beef}, {hamburger meat}, 0.011, 0.092, 1.149
{beef}, {berries}, 0.011, 0.094, 1.183
{berries}, {beef}, 0.011, 0.141, 1.183
{beef}, {chicken}, 0.012, 0.097, 0.96
{chicken}, {beef}, 0.012, 0.115, 0.96
{beef}, {white bread}, 0.013, 0.105, 1.185
{white bread}, {beef}, 0.013, 0.142, 1.185
{coffee}, {beef}, 0.013, 0.116, 0.971
{beef}, {coffee}, 0.013, 0.112, 0.971
{beef}, {chocolate}, 0.015, 0.122, 1.415
{chocolate}, {beef}, 0.015, 0.169, 1.415
{beef}, {frozen vegetables}, 0.016, 0.131, 1.276
{frozen vegetables}, {beef}, 0.016, 0.152, 1.276
{beef}, {margarine}, 0.016, 0.133, 1.137
{margarine}, {beef}, 0.016, 0.136, 1.137
{curd}, {berries}, 0.01, 0.085, 1.064
{berries}, {curd}, 0.01, 0.129, 1.064
{beverages}, {curd}, 0.01, 0.165, 1.368
{curd}, {beverages}, 0.01, 0.085, 1.368
{curd}, {chocolate}, 0.01, 0.085, 0.982
{chocolate}, {curd}, 0.01, 0.119, 0.982
{onions}, {curd}, 0.011, 0.141, 1.17
{curd}, {onions}, 0.011, 0.089, 1.17
{curd}, {dessert}, 0.011, 0.091, 1.056
{dessert}, {curd}, 0.011, 0.128, 1.056
{hamburger meat}, {curd}, 0.011, 0.137, 1.137
{curd}, {hamburger meat}, 0.011, 0.091, 1.137
{salty snack}, {curd}, 0.011, 0.163, 1.349
{curd}, {salty snack}, 0.011, 0.093, 1.349
{cream cheese}, {curd}, 0.012, 0.139, 1.151
{curd}, {cream cheese}, 0.012, 0.102, 1.151
{white bread}, {curd}, 0.012, 0.139, 1.148
{curd}, {white bread}, 0.012, 0.102, 1.148
{frozen vegetables}, {curd}, 0.013, 0.125, 1.035
{curd}, {frozen vegetables}, 0.013, 0.106, 1.035
{UHT-milk}, {curd}, 0.014, 0.173, 1.433
{curd}, {UHT-milk}, 0.014, 0.113, 1.433
{chicken}, {curd}, 0.016, 0.156, 1.288
{curd}, {chicken}, 0.016, 0.13, 1.288
{coffee}, {curd}, 0.016, 0.138, 1.145
{curd}, {coffee}, 0.016, 0.132, 1.145
{beef}, {curd}, 0.017, 0.144, 1.19
{curd}, {beef}, 0.017, 0.142, 1.19
{margarine}, {curd}, 0.018, 0.158, 1.307
{curd}, {margarine}, 0.018, 0.153, 1.307
{fruit/vegetable juice}, {ham}, 0.01, 0.08, 1.264
{ham}, {fruit/vegetable juice}, 0.01, 0.158, 1.264
{napkins}, {fruit/vegetable juice}, 0.01, 0.126, 1.01
{fruit/vegetable juice}, {napkins}, 0.01, 0.082, 1.01
{onions}, {fruit/vegetable juice}, 0.011, 0.138, 1.105
{fruit/vegetable juice}, {onions}, 0.011, 0.084, 1.105
{fruit/vegetable juice}, {frozen meals}, 0.011, 0.086, 1.372
{frozen meals}, {fruit/vegetable juice}, 0.011, 0.171, 1.372
{hamburger meat}, {fruit/vegetable juice}, 0.011, 0.137, 1.1
{fruit/vegetable juice}, {hamburger meat}, 0.011, 0.088, 1.1
{fruit/vegetable juice}, {salty snack}, 0.011, 0.088, 1.275
{salty snack}, {fruit/vegetable juice}, 0.011, 0.159, 1.275
{UHT-milk}, {fruit/vegetable juice}, 0.011, 0.144, 1.151
{fruit/vegetable juice}, {UHT-milk}, 0.011, 0.09, 1.151
{fruit/vegetable juice}, {long life bakery product}, 0.012, 0.094, 1.444
{long life bakery product}, {fruit/vegetable juice}, 0.012, 0.18, 1.444
{fruit/vegetable juice}, {cream cheese}, 0.012, 0.099, 1.114
{cream cheese}, {fruit/vegetable juice}, 0.012, 0.139, 1.114
{fruit/vegetable juice}, {dessert}, 0.012, 0.099, 1.14
{dessert}, {fruit/vegetable juice}, 0.012, 0.142, 1.14
{fruit/vegetable juice}, {sugar}, 0.012, 0.099, 1.495
{sugar}, {fruit/vegetable juice}, 0.012, 0.187, 1.495
{fruit/vegetable juice}, {chocolate}, 0.014, 0.115, 1.33
{chocolate}, {fruit/vegetable juice}, 0.014, 0.166, 1.33
{fruit/vegetable juice}, {frozen vegetables}, 0.015, 0.123, 1.201
{frozen vegetables}, {fruit/vegetable juice}, 0.015, 0.15, 1.201
{fruit/vegetable juice}, {berries}, 0.016, 0.125, 1.57
{berries}, {fruit/vegetable juice}, 0.016, 0.196, 1.57
{coffee}, {fruit/vegetable juice}, 0.016, 0.136, 1.09
{fruit/vegetable juice}, {coffee}, 0.016, 0.125, 1.09
{fruit/vegetable juice}, {chicken}, 0.018, 0.146, 1.45
{chicken}, {fruit/vegetable juice}, 0.018, 0.181, 1.45
{fruit/vegetable juice}, {curd}, 0.019, 0.152, 1.258
{curd}, {fruit/vegetable juice}, 0.019, 0.157, 1.258
{margarine}, {fruit/vegetable juice}, 0.019, 0.162, 1.299
{fruit/vegetable juice}, {margarine}, 0.019, 0.152, 1.299
{beef}, {fruit/vegetable juice}, 0.019, 0.163, 1.305
{fruit/vegetable juice}, {beef}, 0.019, 0.156, 1.305
{butter milk}, {butter}, 0.01, 0.154, 1.219
{butter}, {butter milk}, 0.01, 0.079, 1.219
{butter}, {ham}, 0.01, 0.079, 1.248
{ham}, {butter}, 0.01, 0.158, 1.248
{UHT-milk}, {butter}, 0.011, 0.134, 1.059
{butter}, {UHT-milk}, 0.011, 0.083, 1.059
{butter}, {berries}, 0.011, 0.083, 1.042
{berries}, {butter}, 0.011, 0.132, 1.042
{ice cream}, {butter}, 0.011, 0.186, 1.474
{butter}, {ice cream}, 0.011, 0.083, 1.474
{onions}, {butter}, 0.011, 0.138, 1.091
{butter}, {onions}, 0.011, 0.083, 1.091
{meat}, {butter}, 0.011, 0.169, 1.339
{butter}, {meat}, 0.011, 0.085, 1.339
{butter}, {dessert}, 0.011, 0.087, 1.009
{dessert}, {butter}, 0.011, 0.128, 1.009
{napkins}, {butter}, 0.011, 0.139, 1.097
{butter}, {napkins}, 0.011, 0.089, 1.097
{butter}, {chocolate}, 0.012, 0.095, 1.103
{chocolate}, {butter}, 0.012, 0.139, 1.103
{salty snack}, {butter}, 0.013, 0.181, 1.435
{butter}, {salty snack}, 0.013, 0.099, 1.435
{frozen vegetables}, {butter}, 0.013, 0.125, 0.988
{butter}, {frozen vegetables}, 0.013, 0.101, 0.988
{white bread}, {butter}, 0.013, 0.15, 1.188
{butter}, {white bread}, 0.013, 0.105, 1.188
{cream cheese}, {butter}, 0.015, 0.174, 1.375
{butter}, {cream cheese}, 0.015, 0.122, 1.375
{butter}, {curd}, 0.016, 0.128, 1.058
{curd}, {butter}, 0.016, 0.134, 1.058
{coffee}, {butter}, 0.018, 0.158, 1.253
{butter}, {coffee}, 0.018, 0.144, 1.253
{margarine}, {butter}, 0.018, 0.158, 1.248
{butter}, {margarine}, 0.018, 0.146, 1.248
{chicken}, {butter}, 0.019, 0.189, 1.493
{butter}, {chicken}, 0.019, 0.15, 1.493
{fruit/vegetable juice}, {butter}, 0.019, 0.156, 1.234
{butter}, {fruit/vegetable juice}, 0.019, 0.154, 1.234
{beef}, {butter}, 0.021, 0.172, 1.357
{butter}, {beef}, 0.021, 0.162, 1.357
{beverages}, {pork}, 0.01, 0.161, 1.217
{pork}, {beverages}, 0.01, 0.076, 1.217
{misc. beverages}, {pork}, 0.01, 0.17, 1.281
{pork}, {misc. beverages}, 0.01, 0.076, 1.281
{pork}, {waffles}, 0.01, 0.076, 1.095
{waffles}, {pork}, 0.01, 0.145, 1.095
{salty snack}, {pork}, 0.01, 0.148, 1.119
{pork}, {salty snack}, 0.01, 0.078, 1.119
{UHT-milk}, {pork}, 0.011, 0.137, 1.037
{pork}, {UHT-milk}, 0.011, 0.081, 1.037
{pork}, {chocolate}, 0.011, 0.085, 0.986
{chocolate}, {pork}, 0.011, 0.131, 0.986
{pork}, {dessert}, 0.012, 0.087, 1.009
{dessert}, {pork}, 0.012, 0.134, 1.009
{oil}, {pork}, 0.012, 0.207, 1.567
{pork}, {oil}, 0.012, 0.087, 1.567
{long life bakery product}, {pork}, 0.012, 0.184, 1.392
{pork}, {long life bakery product}, 0.012, 0.091, 1.392
{onions}, {pork}, 0.012, 0.158, 1.195
{pork}, {onions}, 0.012, 0.091, 1.195
{cream cheese}, {pork}, 0.012, 0.139, 1.051
{pork}, {cream cheese}, 0.012, 0.093, 1.051
{hamburger meat}, {pork}, 0.012, 0.153, 1.158
{pork}, {hamburger meat}, 0.012, 0.093, 1.158
{white bread}, {pork}, 0.013, 0.142, 1.07
{pork}, {white bread}, 0.013, 0.095, 1.07
{berries}, {pork}, 0.013, 0.161, 1.215
{pork}, {berries}, 0.013, 0.097, 1.215
{coffee}, {pork}, 0.014, 0.118, 0.894
{pork}, {coffee}, 0.014, 0.103, 0.894
{napkins}, {pork}, 0.014, 0.167, 1.263
{pork}, {napkins}, 0.014, 0.103, 1.263
{chicken}, {pork}, 0.015, 0.148, 1.118
{pork}, {chicken}, 0.015, 0.112, 1.118
{butter}, {pork}, 0.016, 0.13, 0.981
{pork}, {butter}, 0.016, 0.124, 0.981
{frozen vegetables}, {pork}, 0.017, 0.162, 1.228
{pork}, {frozen vegetables}, 0.017, 0.126, 1.228
{margarine}, {pork}, 0.017, 0.149, 1.127
{pork}, {margarine}, 0.017, 0.132, 1.127
{beef}, {pork}, 0.018, 0.152, 1.151
{pork}, {beef}, 0.018, 0.138, 1.151
{fruit/vegetable juice}, {pork}, 0.019, 0.15, 1.132
{pork}, {fruit/vegetable juice}, 0.019, 0.141, 1.132
{curd}, {pork}, 0.021, 0.172, 1.299
{pork}, {curd}, 0.021, 0.157, 1.299
{domestic eggs}, {specialty bar}, 0.01, 0.075, 1.429
{specialty bar}, {domestic eggs}, 0.01, 0.19, 1.429
{domestic eggs}, {dessert}, 0.01, 0.077, 0.891
{dessert}, {domestic eggs}, 0.01, 0.119, 0.891
{frozen meals}, {domestic eggs}, 0.01, 0.163, 1.226
{domestic eggs}, {frozen meals}, 0.01, 0.077, 1.226
{long life bakery product}, {domestic eggs}, 0.01, 0.157, 1.178
{domestic eggs}, {long life bakery product}, 0.01, 0.077, 1.178
{domestic eggs}, {waffles}, 0.01, 0.077, 1.117
{waffles}, {domestic eggs}, 0.01, 0.149, 1.117
{domestic eggs}, {ham}, 0.011, 0.083, 1.308
{ham}, {domestic eggs}, 0.011, 0.174, 1.308
{oil}, {domestic eggs}, 0.011, 0.198, 1.488
{domestic eggs}, {oil}, 0.011, 0.083, 1.488
{butter milk}, {domestic eggs}, 0.011, 0.174, 1.306
{domestic eggs}, {butter milk}, 0.011, 0.085, 1.306
{onions}, {domestic eggs}, 0.011, 0.148, 1.113
{domestic eggs}, {onions}, 0.011, 0.085, 1.113
{napkins}, {domestic eggs}, 0.012, 0.142, 1.066
{domestic eggs}, {napkins}, 0.012, 0.087, 1.066
{salty snack}, {domestic eggs}, 0.012, 0.174, 1.307
{domestic eggs}, {salty snack}, 0.012, 0.091, 1.307
{domestic eggs}, {chocolate}, 0.013, 0.096, 1.114
{chocolate}, {domestic eggs}, 0.013, 0.148, 1.114
{cream cheese}, {domestic eggs}, 0.013, 0.145, 1.088
{domestic eggs}, {cream cheese}, 0.013, 0.096, 1.088
{UHT-milk}, {domestic eggs}, 0.013, 0.167, 1.252
{domestic eggs}, {UHT-milk}, 0.013, 0.098, 1.252
{domestic eggs}, {berries}, 0.013, 0.098, 1.232
{berries}, {domestic eggs}, 0.013, 0.164, 1.232
{meat}, {domestic eggs}, 0.013, 0.206, 1.545
{domestic eggs}, {meat}, 0.013, 0.098, 1.545
{white bread}, {domestic eggs}, 0.014, 0.153, 1.15
{domestic eggs}, {white bread}, 0.014, 0.102, 1.15
{frozen vegetables}, {domestic eggs}, 0.015, 0.15, 1.127
{domestic eggs}, {frozen vegetables}, 0.015, 0.116, 1.127
{chicken}, {domestic eggs}, 0.016, 0.156, 1.169
{domestic eggs}, {chicken}, 0.016, 0.118, 1.169
{margarine}, {domestic eggs}, 0.016, 0.136, 1.021
{domestic eggs}, {margarine}, 0.016, 0.119, 1.021
{beef}, {domestic eggs}, 0.016, 0.137, 1.031
{domestic eggs}, {beef}, 0.016, 0.123, 1.031
{butter}, {domestic eggs}, 0.016, 0.13, 0.975
{domestic eggs}, {butter}, 0.016, 0.123, 0.975
{curd}, {domestic eggs}, 0.018, 0.151, 1.132
{domestic eggs}, {curd}, 0.018, 0.137, 1.132
{domestic eggs}, {pork}, 0.02, 0.148, 1.121
{pork}, {domestic eggs}, 0.02, 0.149, 1.121
{coffee}, {domestic eggs}, 0.021, 0.183, 1.375
{domestic eggs}, {coffee}, 0.021, 0.158, 1.375
{fruit/vegetable juice}, {domestic eggs}, 0.023, 0.181, 1.357
{domestic eggs}, {fruit/vegetable juice}, 0.023, 0.17, 1.357
{brown bread}, {waffles}, 0.01, 0.075, 1.094
{waffles}, {brown bread}, 0.01, 0.149, 1.094
{brown bread}, {grapes}, 0.011, 0.077, 1.409
{grapes}, {brown bread}, 0.011, 0.192, 1.409
{brown bread}, {misc. beverages}, 0.011, 0.077, 1.311
{misc. beverages}, {brown bread}, 0.011, 0.178, 1.311
{brown bread}, {ham}, 0.011, 0.079, 1.251
{ham}, {brown bread}, 0.011, 0.17, 1.251
{napkins}, {brown bread}, 0.011, 0.132, 0.974
{brown bread}, {napkins}, 0.011, 0.079, 0.974
{brown bread}, {berries}, 0.011, 0.081, 1.017
{berries}, {brown bread}, 0.011, 0.138, 1.017
{brown bread}, {frozen meals}, 0.011, 0.081, 1.291
{frozen meals}, {brown bread}, 0.011, 0.176, 1.291
{hamburger meat}, {brown bread}, 0.011, 0.137, 1.01
{brown bread}, {hamburger meat}, 0.011, 0.081, 1.01
{brown bread}, {meat}, 0.011, 0.083, 1.305
{meat}, {brown bread}, 0.011, 0.177, 1.305
{brown bread}, {beverages}, 0.012, 0.087, 1.398
{beverages}, {brown bread}, 0.012, 0.19, 1.398
{onions}, {brown bread}, 0.012, 0.158, 1.164
{brown bread}, {onions}, 0.012, 0.089, 1.164
{brown bread}, {salty snack}, 0.012, 0.089, 1.28
{salty snack}, {brown bread}, 0.012, 0.174, 1.28
{UHT-milk}, {brown bread}, 0.012, 0.157, 1.154
{brown bread}, {UHT-milk}, 0.012, 0.091, 1.154
{brown bread}, {chocolate}, 0.014, 0.1, 1.157
{chocolate}, {brown bread}, 0.014, 0.157, 1.157
{brown bread}, {cream cheese}, 0.014, 0.106, 1.194
{cream cheese}, {brown bread}, 0.014, 0.162, 1.194
{brown bread}, {chicken}, 0.015, 0.113, 1.126
{chicken}, {brown bread}, 0.015, 0.153, 1.126
{margarine}, {brown bread}, 0.016, 0.136, 1.0
{brown bread}, {margarine}, 0.016, 0.117, 1.0
{brown bread}, {white bread}, 0.016, 0.119, 1.339
{white bread}, {brown bread}, 0.016, 0.182, 1.339
{brown bread}, {frozen vegetables}, 0.016, 0.121, 1.177
{frozen vegetables}, {brown bread}, 0.016, 0.16, 1.177
{brown bread}, {butter}, 0.017, 0.128, 1.014
{butter}, {brown bread}, 0.017, 0.138, 1.014
{coffee}, {brown bread}, 0.017, 0.152, 1.116
{brown bread}, {coffee}, 0.017, 0.128, 1.116
{brown bread}, {dessert}, 0.017, 0.128, 1.484
{dessert}, {brown bread}, 0.017, 0.202, 1.484
{beef}, {brown bread}, 0.019, 0.159, 1.168
{brown bread}, {beef}, 0.019, 0.14, 1.168
{brown bread}, {curd}, 0.02, 0.147, 1.218
{curd}, {brown bread}, 0.02, 0.166, 1.218
{brown bread}, {domestic eggs}, 0.02, 0.147, 1.105
{domestic eggs}, {brown bread}, 0.02, 0.15, 1.105
{brown bread}, {fruit/vegetable juice}, 0.021, 0.155, 1.238
{fruit/vegetable juice}, {brown bread}, 0.021, 0.168, 1.238
{brown bread}, {pork}, 0.023, 0.17, 1.283
{pork}, {brown bread}, 0.023, 0.174, 1.283
{butter milk}, {frankfurter}, 0.01, 0.154, 1.121
{frankfurter}, {butter milk}, 0.01, 0.073, 1.121
{frankfurter}, {ham}, 0.011, 0.076, 1.207
{ham}, {frankfurter}, 0.011, 0.166, 1.207
{frankfurter}, {salty snack}, 0.011, 0.078, 1.131
{salty snack}, {frankfurter}, 0.011, 0.156, 1.131
{frankfurter}, {specialty bar}, 0.011, 0.078, 1.49
{specialty bar}, {frankfurter}, 0.011, 0.205, 1.49
{specialty chocolate}, {frankfurter}, 0.011, 0.184, 1.34
{frankfurter}, {specialty chocolate}, 0.011, 0.078, 1.34
{frankfurter}, {berries}, 0.011, 0.08, 1.006
{berries}, {frankfurter}, 0.011, 0.138, 1.006
{frankfurter}, {grapes}, 0.011, 0.08, 1.461
{grapes}, {frankfurter}, 0.011, 0.201, 1.461
{frankfurter}, {napkins}, 0.011, 0.082, 1.009
{napkins}, {frankfurter}, 0.011, 0.139, 1.009
{frankfurter}, {sugar}, 0.011, 0.082, 1.245
{sugar}, {frankfurter}, 0.011, 0.171, 1.245
{frankfurter}, {long life bakery product}, 0.012, 0.084, 1.283
{long life bakery product}, {frankfurter}, 0.012, 0.176, 1.283
{frankfurter}, {waffles}, 0.012, 0.09, 1.298
{waffles}, {frankfurter}, 0.012, 0.178, 1.298
{frankfurter}, {cream cheese}, 0.013, 0.095, 1.075
{cream cheese}, {frankfurter}, 0.013, 0.148, 1.075
{frankfurter}, {misc. beverages}, 0.013, 0.095, 1.613
{misc. beverages}, {frankfurter}, 0.013, 0.222, 1.613
{frankfurter}, {white bread}, 0.013, 0.097, 1.093
{white bread}, {frankfurter}, 0.013, 0.15, 1.093
{frankfurter}, {onions}, 0.014, 0.099, 1.298
{onions}, {frankfurter}, 0.014, 0.178, 1.298
{hamburger meat}, {frankfurter}, 0.014, 0.179, 1.301
{frankfurter}, {hamburger meat}, 0.014, 0.104, 1.301
{frankfurter}, {UHT-milk}, 0.015, 0.11, 1.402
{UHT-milk}, {frankfurter}, 0.015, 0.193, 1.402
{frankfurter}, {chicken}, 0.016, 0.119, 1.187
{chicken}, {frankfurter}, 0.016, 0.163, 1.187
{frankfurter}, {chocolate}, 0.017, 0.125, 1.446
{chocolate}, {frankfurter}, 0.017, 0.199, 1.446
{frankfurter}, {pork}, 0.017, 0.127, 0.958
{pork}, {frankfurter}, 0.017, 0.132, 0.958
{frankfurter}, {frozen vegetables}, 0.018, 0.131, 1.273
{frozen vegetables}, {frankfurter}, 0.018, 0.175, 1.273
{frankfurter}, {fruit/vegetable juice}, 0.019, 0.142, 1.135
{fruit/vegetable juice}, {frankfurter}, 0.019, 0.156, 1.135
{frankfurter}, {curd}, 0.02, 0.144, 1.189
{curd}, {frankfurter}, 0.02, 0.163, 1.189
{beef}, {frankfurter}, 0.02, 0.167, 1.217
{frankfurter}, {beef}, 0.02, 0.146, 1.217
{coffee}, {frankfurter}, 0.02, 0.174, 1.266
{frankfurter}, {coffee}, 0.02, 0.146, 1.266
{frankfurter}, {butter}, 0.022, 0.159, 1.254
{butter}, {frankfurter}, 0.022, 0.172, 1.254
{frankfurter}, {brown bread}, 0.022, 0.162, 1.194
{brown bread}, {frankfurter}, 0.022, 0.164, 1.194
{frankfurter}, {domestic eggs}, 0.022, 0.162, 1.219
{domestic eggs}, {frankfurter}, 0.022, 0.168, 1.219
{frankfurter}, {margarine}, 0.024, 0.174, 1.483
{margarine}, {frankfurter}, 0.024, 0.204, 1.483
{newspapers}, {hygiene articles}, 0.01, 0.072, 1.367
{hygiene articles}, {newspapers}, 0.01, 0.191, 1.367
{newspapers}, {misc. beverages}, 0.01, 0.073, 1.244
{misc. beverages}, {newspapers}, 0.01, 0.174, 1.244
{onions}, {newspapers}, 0.01, 0.135, 0.963
{newspapers}, {onions}, 0.01, 0.073, 0.963
{frozen meals}, {newspapers}, 0.011, 0.167, 1.197
{newspapers}, {frozen meals}, 0.011, 0.075, 1.197
{UHT-milk}, {newspapers}, 0.011, 0.137, 0.982
{newspapers}, {UHT-milk}, 0.011, 0.077, 0.982
{beverages}, {newspapers}, 0.011, 0.174, 1.241
{newspapers}, {beverages}, 0.011, 0.077, 1.241
{meat}, {newspapers}, 0.011, 0.177, 1.269
{newspapers}, {meat}, 0.011, 0.081, 1.269
{newspapers}, {specialty bar}, 0.012, 0.088, 1.675
{specialty bar}, {newspapers}, 0.012, 0.234, 1.675
{newspapers}, {sugar}, 0.012, 0.088, 1.336
{sugar}, {newspapers}, 0.012, 0.187, 1.336
{newspapers}, {ham}, 0.013, 0.092, 1.448
{ham}, {newspapers}, 0.013, 0.202, 1.448
{hamburger meat}, {newspapers}, 0.013, 0.163, 1.165
{newspapers}, {hamburger meat}, 0.013, 0.094, 1.165
{newspapers}, {berries}, 0.013, 0.095, 1.196
{berries}, {newspapers}, 0.013, 0.167, 1.196
{newspapers}, {chocolate}, 0.014, 0.097, 1.125
{chocolate}, {newspapers}, 0.014, 0.157, 1.125
{napkins}, {newspapers}, 0.014, 0.17, 1.218
{newspapers}, {napkins}, 0.014, 0.099, 1.218
{newspapers}, {dessert}, 0.014, 0.101, 1.167
{dessert}, {newspapers}, 0.014, 0.163, 1.167
{salty snack}, {newspapers}, 0.014, 0.204, 1.457
{newspapers}, {salty snack}, 0.014, 0.101, 1.457
{cream cheese}, {newspapers}, 0.016, 0.183, 1.306
{newspapers}, {cream cheese}, 0.016, 0.116, 1.306
{white bread}, {newspapers}, 0.016, 0.185, 1.323
{newspapers}, {white bread}, 0.016, 0.117, 1.323
{coffee}, {newspapers}, 0.017, 0.145, 1.038
{newspapers}, {coffee}, 0.017, 0.119, 1.038
{frozen vegetables}, {newspapers}, 0.017, 0.162, 1.162
{newspapers}, {frozen vegetables}, 0.017, 0.119, 1.162
{fruit/vegetable juice}, {newspapers}, 0.017, 0.133, 0.955
{newspapers}, {fruit/vegetable juice}, 0.017, 0.119, 0.955
{margarine}, {newspapers}, 0.017, 0.149, 1.067
{newspapers}, {margarine}, 0.017, 0.125, 1.067
{chicken}, {newspapers}, 0.019, 0.194, 1.387
{newspapers}, {chicken}, 0.019, 0.139, 1.387
{newspapers}, {curd}, 0.019, 0.139, 1.154
{curd}, {newspapers}, 0.019, 0.161, 1.154
{frankfurter}, {newspapers}, 0.02, 0.144, 1.027
{newspapers}, {frankfurter}, 0.02, 0.141, 1.027
{beef}, {newspapers}, 0.02, 0.167, 1.197
{newspapers}, {beef}, 0.02, 0.143, 1.197
{newspapers}, {pork}, 0.021, 0.15, 1.137
{pork}, {newspapers}, 0.021, 0.159, 1.137
{newspapers}, {butter}, 0.023, 0.165, 1.306
{butter}, {newspapers}, 0.023, 0.183, 1.306
{brown bread}, {newspapers}, 0.024, 0.174, 1.242
{newspapers}, {brown bread}, 0.024, 0.169, 1.242
{newspapers}, {domestic eggs}, 0.024, 0.172, 1.295
{domestic eggs}, {newspapers}, 0.024, 0.181, 1.295
{specialty chocolate}, {whipped/sour cream}, 0.011, 0.18, 1.162
